raw_facet,normalized_facet,facet_type,conversation_observable,sensitivity,scoring_definition,score_1_anchor,score_2_anchor,score_3_anchor,score_4_anchor,score_5_anchor,abstention_reason,data_quality_flag
Defense-mechanism tendency: Introjection,Defense-mechanism Tendency: Introjection,ambiguous,False,medium,Not directly scoreable from conversation (ambiguous).,,,,,,Composite psychological measure; partial signals may appear in conversation but safe scoring requires validated tools.,
Irritability,Irritability,conversation_observable,True,low,"Measures the degree of irritability demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",No signs of irritability in the conversation.,Minimal/isolated signs of irritability.,Moderate irritability apparent in several statements.,Clear and repeated irritability throughout.,Pervasive irritability dominating the conversation.,,
Travel-companions diversity,Travel-companions Diversity,conversation_observable,True,low,"Measures the degree of travel-companions diversity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of travel-companions diversity.,Slight evidence of travel-companions diversity; brief or weak signals.,Moderate travel-companions diversity; clear but not dominant evidence.,Strong travel-companions diversity; multiple clear indicators.,Very strong travel-companions diversity; pervasive and compelling evidence.,,
627. Sacred text engagement: Quran surahs memorized,Sacred Text Engagement: Quran Surahs Memorized,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Trust in others,Trust in Others,conversation_observable,True,low,"Measures the degree of trust in others demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of trust in others.,Slight evidence of trust in others; brief or weak signals.,Moderate trust in others; clear but not dominant evidence.,Strong trust in others; multiple clear indicators.,Very strong trust in others; pervasive and compelling evidence.,,
Gamified-finance-app usage,Gamified-finance-app Usage,conversation_observable,True,low,"Measures the degree of gamified-finance-app usage demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of gamified-finance-app usage.,Slight evidence of gamified-finance-app usage; brief or weak signals.,Moderate gamified-finance-app usage; clear but not dominant evidence.,Strong gamified-finance-app usage; multiple clear indicators.,Very strong gamified-finance-app usage; pervasive and compelling evidence.,,
823. Buddhist practice: Eightfold Path – Right Intention level,Buddhist Practice: Eightfold Path – Right Intention Level,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Caffeine intake (mg/day),Caffeine Intake (mg/day),external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Comfort with Vulnerability,Comfort With Vulnerability,conversation_observable,True,low,"Measures the degree of comfort with vulnerability demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of comfort with vulnerability.,Slight evidence of comfort with vulnerability; brief or weak signals.,Moderate comfort with vulnerability; clear but not dominant evidence.,Strong comfort with vulnerability; multiple clear indicators.,Very strong comfort with vulnerability; pervasive and compelling evidence.,,
Anticipativeness,Anticipativeness,conversation_observable,True,low,"Measures the degree of anticipativeness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of anticipativeness.,Slight evidence of anticipativeness; brief or weak signals.,Moderate anticipativeness; clear but not dominant evidence.,Strong anticipativeness; multiple clear indicators.,Very strong anticipativeness; pervasive and compelling evidence.,,
Additional Common Parameters and Their End Points:,Additional Common Parameters and Their End Points,malformed_header,False,low,Not directly scoreable from conversation (malformed_header).,,,,,,"Entry appears to be a section header, not a scoreable facet.",header_like_entry
Avoiding:,Avoiding,conversation_observable,True,low,"Measures the degree of avoiding demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of avoiding.,Slight evidence of avoiding; brief or weak signals.,Moderate avoiding; clear but not dominant evidence.,Strong avoiding; multiple clear indicators.,Very strong avoiding; pervasive and compelling evidence.,,trailing_colon
Home-security-system presence,Home-security-system Presence,conversation_observable,True,low,"Measures the degree of home-security-system presence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of home-security-system presence.,Slight evidence of home-security-system presence; brief or weak signals.,Moderate home-security-system presence; clear but not dominant evidence.,Strong home-security-system presence; multiple clear indicators.,Very strong home-security-system presence; pervasive and compelling evidence.,,
HEXACO domain: Honesty-Humility,Hexaco Domain: Honesty-humility,ambiguous,False,medium,Not directly scoreable from conversation (ambiguous).,,,,,,Named psychometric facet requires validated instrument for precise scoring.,
Eating Habits (Home-Cooked vs. Eating Out),Eating Habits (home-cooked vs. Eating Out),conversation_observable,True,low,"Measures the degree of eating habits (home-cooked vs. eating out) demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of eating habits (home-cooked vs. eating out).,Slight evidence of eating habits (home-cooked vs. eating out); brief or weak signals.,Moderate eating habits (home-cooked vs. eating out); clear but not dominant evidence.,Strong eating habits (home-cooked vs. eating out); multiple clear indicators.,Very strong eating habits (home-cooked vs. eating out); pervasive and compelling evidence.,,
Decision-Making Confidence,Decision-making Confidence,conversation_observable,True,low,"Measures the degree of decision-making confidence demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of decision-making confidence.,Slight evidence of decision-making confidence; brief or weak signals.,Moderate decision-making confidence; clear but not dominant evidence.,Strong decision-making confidence; multiple clear indicators.,Very strong decision-making confidence; pervasive and compelling evidence.,,
Alignment with societal roles,Alignment With Societal Roles,conversation_observable,True,low,"Measures the degree of alignment with societal roles demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of alignment with societal roles.,Slight evidence of alignment with societal roles; brief or weak signals.,Moderate alignment with societal roles; clear but not dominant evidence.,Strong alignment with societal roles; multiple clear indicators.,Very strong alignment with societal roles; pervasive and compelling evidence.,,
Connectedness: Belief in interconnections,Connectedness: Belief in Interconnections,conversation_observable,True,low,"Measures the degree of connectedness: belief in interconnections demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of connectedness: belief in interconnections.,Slight evidence of connectedness: belief in interconnections; brief or weak signals.,Moderate connectedness: belief in interconnections; clear but not dominant evidence.,Strong connectedness: belief in interconnections; multiple clear indicators.,Very strong connectedness: belief in interconnections; pervasive and compelling evidence.,,
Quirkiness,Quirkiness,conversation_observable,True,low,"Measures the degree of quirkiness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of quirkiness.,Slight evidence of quirkiness; brief or weak signals.,Moderate quirkiness; clear but not dominant evidence.,Strong quirkiness; multiple clear indicators.,Very strong quirkiness; pervasive and compelling evidence.,,
Creative resilience,Creative Resilience,conversation_observable,True,low,"Measures the degree of creative resilience demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of creative resilience.,Slight evidence of creative resilience; brief or weak signals.,Moderate creative resilience; clear but not dominant evidence.,Strong creative resilience; multiple clear indicators.,Very strong creative resilience; pervasive and compelling evidence.,,
Rapid cognitive processing,Rapid Cognitive Processing,conversation_observable,True,low,"Measures the degree of rapid cognitive processing demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of rapid cognitive processing.,Slight evidence of rapid cognitive processing; brief or weak signals.,Moderate rapid cognitive processing; clear but not dominant evidence.,Strong rapid cognitive processing; multiple clear indicators.,Very strong rapid cognitive processing; pervasive and compelling evidence.,,
Cordiality,Cordiality,conversation_observable,True,low,"Measures the degree of cordiality demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of cordiality.,Slight evidence of cordiality; brief or weak signals.,Moderate cordiality; clear but not dominant evidence.,Strong cordiality; multiple clear indicators.,Very strong cordiality; pervasive and compelling evidence.,,
Types of Mindfulness Techniques Used,Types of Mindfulness Techniques Used,biographical,False,high,Not directly scoreable from conversation (biographical).,,,,,,Biographical fact requires external information.,
Economic reasoning,Economic Reasoning,conversation_observable,True,low,"Measures the degree of economic reasoning demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of economic reasoning.,Slight evidence of economic reasoning; brief or weak signals.,Moderate economic reasoning; clear but not dominant evidence.,Strong economic reasoning; multiple clear indicators.,Very strong economic reasoning; pervasive and compelling evidence.,,
Conformity,Conformity,conversation_observable,True,low,"Measures the degree of conformity demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of conformity.,Slight evidence of conformity; brief or weak signals.,Moderate conformity; clear but not dominant evidence.,Strong conformity; multiple clear indicators.,Very strong conformity; pervasive and compelling evidence.,,
Pet-enrichment activities count,Pet-enrichment Activities Count,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative metric requires external measurement data.,
Aestheticism,Aestheticism,conversation_observable,True,low,"Measures the degree of aestheticism demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of aestheticism.,Slight evidence of aestheticism; brief or weak signals.,Moderate aestheticism; clear but not dominant evidence.,Strong aestheticism; multiple clear indicators.,Very strong aestheticism; pervasive and compelling evidence.,,
Type of Support Preferred (Emotional vs. Practical),Type of Support Preferred (emotional vs. Practical),conversation_observable,True,low,"Measures the degree of type of support preferred (emotional vs. practical) demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of type of support preferred (emotional vs. practical).,Slight evidence of type of support preferred (emotional vs. practical); brief or weak signals.,Moderate type of support preferred (emotional vs. practical); clear but not dominant evidence.,Strong type of support preferred (emotional vs. practical); multiple clear indicators.,Very strong type of support preferred (emotional vs. practical); pervasive and compelling evidence.,,
Mental Arithmetic Speed,Mental Arithmetic Speed,conversation_observable,True,low,"Measures the degree of mental arithmetic speed demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of mental arithmetic speed.,Slight evidence of mental arithmetic speed; brief or weak signals.,Moderate mental arithmetic speed; clear but not dominant evidence.,Strong mental arithmetic speed; multiple clear indicators.,Very strong mental arithmetic speed; pervasive and compelling evidence.,,
Patience: Resistance to anger,Patience: Resistance to Anger,conversation_observable,True,low,"Measures the degree of patience: resistance to anger demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of patience: resistance to anger.,Slight evidence of patience: resistance to anger; brief or weak signals.,Moderate patience: resistance to anger; clear but not dominant evidence.,Strong patience: resistance to anger; multiple clear indicators.,Very strong patience: resistance to anger; pervasive and compelling evidence.,,
Flawlessness,Flawlessness,conversation_observable,True,low,"Measures the degree of flawlessness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of flawlessness.,Slight evidence of flawlessness; brief or weak signals.,Moderate flawlessness; clear but not dominant evidence.,Strong flawlessness; multiple clear indicators.,Very strong flawlessness; pervasive and compelling evidence.,,
Self-Efficacy,Self-efficacy,conversation_observable,True,low,"Measures the degree of self-efficacy demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of self-efficacy.,Slight evidence of self-efficacy; brief or weak signals.,Moderate self-efficacy; clear but not dominant evidence.,Strong self-efficacy; multiple clear indicators.,Very strong self-efficacy; pervasive and compelling evidence.,,
Computer Skills:,Computer Skills,conversation_observable,True,low,"Measures the degree of computer skills demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of computer skills.,Slight evidence of computer skills; brief or weak signals.,Moderate computer skills; clear but not dominant evidence.,Strong computer skills; multiple clear indicators.,Very strong computer skills; pervasive and compelling evidence.,,trailing_colon
899. Jewish spiritual metric: Shabbat candle-lighting consistency,Jewish Spiritual Metric: Shabbat Candle-lighting Consistency,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Spelling Accuracy,Spelling Accuracy,conversation_observable,True,low,"Measures the degree of spelling accuracy demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of spelling accuracy.,Slight evidence of spelling accuracy; brief or weak signals.,Moderate spelling accuracy; clear but not dominant evidence.,Strong spelling accuracy; multiple clear indicators.,Very strong spelling accuracy; pervasive and compelling evidence.,,
793. Sufi practice: Dhikr repetitions / day,Sufi Practice: Dhikr Repetitions / Day,external_evidence,False,medium,Not directly scoreable from conversation (external_evidence).,,,,,,Quantitative spiritual/religious metric requires external data.,numbered_prefix
Peacefulness,Peacefulness,conversation_observable,True,low,"Measures the degree of peacefulness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of peacefulness.,Slight evidence of peacefulness; brief or weak signals.,Moderate peacefulness; clear but not dominant evidence.,Strong peacefulness; multiple clear indicators.,Very strong peacefulness; pervasive and compelling evidence.,,
Doggedness,Doggedness,conversation_observable,True,low,"Measures the degree of doggedness demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of doggedness.,Slight evidence of doggedness; brief or weak signals.,Moderate doggedness; clear but not dominant evidence.,Strong doggedness; multiple clear indicators.,Very strong doggedness; pervasive and compelling evidence.,,
Decency,Decency,conversation_observable,True,low,"Measures the degree of decency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of decency.,Slight evidence of decency; brief or weak signals.,Moderate decency; clear but not dominant evidence.,Strong decency; multiple clear indicators.,Very strong decency; pervasive and compelling evidence.,,
Processed-food frequency,Processed-food Frequency,conversation_observable,True,low,"Measures the degree of processed-food frequency demonstrated in the conversation, based on observable language, tone, and behavioral descriptions.",Very low / no evidence of processed-food frequency.,Slight evidence of processed-food frequency; brief or weak signals.,Moderate processed-food frequency; clear but not dominant evidence.,Strong processed-food frequency; multiple clear indicators.,Very strong processed-food frequency; pervasive and compelling evidence.,,
